Pos,No,Driver,Constructor,Lap,Gap
1,5,Fernando Alonso,Renault,1:14.412,-
2,16,Jarno Trulli,Toyota,1:14.521,+0.109
3,9,Kimi Räikkönen,McLaren - Mercedes,1:14.559,+0.147
4,1,Michael Schumacher,Ferrari,1:14.572,+0.160
5,4,Takuma Sato,BAR - Honda,1:14.655,+0.243
6,2,Rubens Barrichello,Ferrari,1:14.832,+0.420
7,6,Giancarlo Fisichella,Renault,1:14.887,+0.475
8,3,Jenson Button,BAR - Honda,1:15.051,+0.639
9,10,Juan Pablo Montoya,McLaren - Mercedes,1:15.406,+0.994
10,12,Felipe Massa,Sauber - Petronas,1:15.566,+1.154
11,11,Jacques Villeneuve,Sauber - Petronas,1:15.699,+1.287
12,17,Ralf Schumacher,Toyota,1:15.771,+1.359
13,7,Mark Webber,Williams - BMW,1:15.885,+1.473
14,8,Nick Heidfeld,Williams - BMW,1:16.207,+1.795
15,14,David Coulthard,Red Bull - Cosworth,1:16.434,+2.022
16,15,Christian Klien,Red Bull - Cosworth,1:16.547,+2.135
17,19,Narain Karthikeyan,Jordan - Toyota,1:17.857,+3.445
18,20,Patrick Friesacher,Minardi - Cosworth,1:17.960,+3.548
19,18,Tiago Monteiro,Jordan - Toyota,1:18.047,+3.635
20,21,Christijan Albers,Minardi - Cosworth,1:18.335,+3.923
