,Name on the Register,Date listed,Location,City or town
1,Cotton Storage House,"January 10 , 1980 ( # 80003263 )",Off State Highway 2 35°07′08″N 95°13′57″W / 35.118889°N 95.2325°W / 35.118889 ; -95.2325 ( Cotton Storage House ),Kinta
2,Haskell County Courthouse,"August 23 , 1984 ( # 84003061 )",202 E. Main St. 35°15′14″N 95°04′48″W / 35.253889°N 95.08°W / 35.253889 ; -95.08 ( Haskell County Courthouse ),Stigler
3,Kinta High School,"September 26 , 1988 ( # 88001383 )",State Highway 2 35°06′30″N 95°14′15″W / 35.108333°N 95.2375°W / 35.108333 ; -95.2375 ( Kinta High School ),Kinta
4,Edmund McCurtain House,"June 27 , 1980 ( # 80003265 )",Northeast of Kinta 35°07′43″N 95°09′43″W / 35.128611°N 95.161944°W / 35.128611 ; -95.161944 ( Edmund McCurtain House ),Kinta
5,Green McCurtain House,"June 21 , 1971 ( # 71000661 )",Northeast of Kinta 35°07′43″N 95°09′25″W / 35.128611°N 95.156944°W / 35.128611 ; -95.156944 ( Green McCurtain House ),Kinta
6,Mule Creek Site,"September 13 , 1978 ( # 78002237 )",Address Restricted,Stigler
7,Otter Creek Archeological Site,"December 31 , 1974 ( # 74001661 )",Address Restricted,Keota
8,Scott Store,"January 11 , 1980 ( # 80003264 )",State Highway 2 35°07′04″N 95°13′53″W / 35.117778°N 95.231389°W / 35.117778 ; -95.231389 ( Scott Store ),Kinta
9,Stigler School Gymnasium-Auditorium,"September 8 , 1988 ( # 88001384 )",4th and E Sts . 35°15′31″N 95°07′40″W / 35.258611°N 95.127778°W / 35.258611 ; -95.127778 ( Stigler School Gymnasium-Auditorium ),Stigler
10,Tamaha Jail and Ferry Landing,"November 14 , 1980 ( # 80003266 )",Northeast of Stigler 35°24′03″N 94°58′42″W / 35.400833°N 94.978333°W / 35.400833 ; -94.978333 ( Tamaha Jail and Ferry Landing ),Stigler
