Season ( s ),Winner ( s ),Manager ( s )
1996-97,Manning Rangers,Gordon Igesund
1997-98,Mamelodi Sundowns,Ted Dumitru
1998-99,Mamelodi Sundowns,Ted Dumitru ( 2 )
1999-00,Mamelodi Sundowns,Paul Dolezar
2000-01,Orlando Pirates,Gordon Igesund ( 2 )
2001-02,Santos,Gordon Igesund ( 3 )
2002-03,Orlando Pirates,Roy Barreto
2003-04,Kaizer Chiefs,Ted Dumitru ( 3 )
2004-05,Kaizer Chiefs,Ted Dumitru ( 4 )
2005-06,Mamelodi Sundowns,Neil Tovey & Miguel Gamondi
2006-07,Mamelodi Sundowns,Gordon Igesund ( 4 )
2007-08,Supersport United,Gavin Hunt
2008-09,Supersport United,Gavin Hunt ( 2 )
2009-10,Supersport United,Gavin Hunt ( 3 )
2010-11,Orlando Pirates,Ruud Krol
2011-12,Orlando Pirates,Augusto Palacios
2012-13,Kaizer Chiefs F.C,Stuart Baxter
2013-14,Mamelodi Sundowns,Pitso Mosimane
2014-15,Kaizer Chiefs F.C,Stuart Baxter ( 2 )
2015-16,Mamelodi Sundowns,Pitso Mosimane ( 2 )
