Year,Artist,Album,Label,Shipments ( Sales ),Certification
1994,Boyz II Men,II,Motown,"( 9,890,000 )",12× Platinum
1991,Garth Brooks,Ropin ' the Wind,Capitol Nashville,"( 9,600,000 )",14× Platinum
1995,No Doubt,Tragic Kingdom,Trauma / Interscope Records,"( 9,520,000 )",10× Platinum
2015,Adele,25,Columbia / XL,"( 9,450,000 )",11× Platinum
1996,Matchbox Twenty,Yourself or Someone Like You,Atlantic,"( 9,358,000 )",12× Platinum
1994,Green Day,Dookie,Reprise Records,"( 9,342,000 )",10× Platinum
1994,Bob Seger,Greatest Hits,Capitol,"( 9,062,000 )",10× Platinum
1995,Shania Twain,The Woman in Me,Mercury Nashville,"( 8,894,000 )",12× Platinum
1994,TLC,CrazySexyCool,LaFace,"( 8,870,000 )",12× Platinum
1995,Jewel,Pieces of You,Atlantic,"( 8,800,000 )",12× Platinum
2000,Nelly,Country Grammar,Universal,"( 8,581,000 )",10× Platinum
1995,Mariah Carey,Daydream,Columbia,"( 8,505,000 )",10× Platinum
1973,The Beatles,1967-1970,Capitol,"8,500,000",17× Platinum ( 2-disc album )
1999,Dixie Chicks,Fly,Monument Records,"( 8,396,000 )",10× Platinum
1993,Tom Petty and the Heartbreakers,Greatest Hits,MCA,"( 8,200,000 )",12× Platinum
1993,Mariah Carey,Music Box,Columbia,"( 8,012,000 )",10× Platinum
1975,Led Zeppelin,Physical Graffiti,Swan Song,"8,000,000",16× Platinum ( 2-disc album )
2005,Nickelback,All the Right Reasons,Roadrunner,"( 7,960,000 )",10× Platinum
1994,Soundtrack,The Lion King,Walt Disney Records,"( 7,879,000 )",10× Platinum
1994,Garth Brooks,The Hits,Liberty Records,"( 7,821,000 )",10× Platinum
