#,Stadium,Capacity,City,Home team,Inaugurated
1,Luzhniki Stadium,"81,000 ( 60,000 athletics )",Moscow,"Russia national football team , 1980 Summer Olympics and 2018 World Cup",1956
2,Krestovsky Stadium,"67,000",Saint Petersburg,"FC Zenit Saint Petersburg , 2017 Confederations Cup , 2018 World Cup and Euro 2020",2017
3,Volgograd Arena,"45,568",Volgograd,"FC Rotor Volgograd , 2018 World Cup",2018
4,Otkrytie Arena,"45,360",Moscow,"FC Spartak Moscow , 2017 Confederations Cup and 2018 World Cup",2014
5,Kazan Arena,"45,105",Kazan,"FC Rubin Kazan , 2017 Confederations Cup and 2018 World Cup",2013
6,Cosmos Arena,"44,918",Samara,"FC Krylya Sovetov , 2018 World Cup",2018
7,Strelka Stadium,"44,899",Nizhny Novgorod,"FC Nizhny Novgorod , 2018 World Cup",2018
8,Mordovia Arena,"43,958",Saransk,"FC Mordovia Saransk , 2018 World Cup",2018
9,Rostov Arena,"43,702",Rostov-on-Don,"FC Rostov , 2018 World Cup",2018
10,Fisht Olympic Stadium,"40,000",Sochi,"PFC Sochi 2014 Winter Olympics , 2017 Confederations Cup and 2018 World Cup",2013
11,Krasnodar Stadium,"34,291",Krasnodar,FC Krasnodar,2016
12,Metallurg Stadium,"33,001",Samara,FC Krylya Sovetov Samara ( until 2018 ),1957
13,Republican Spartak Stadium,"32,464",Vladikavkaz,FC Spartak Vladikavkaz,1962
14,Tsentralnyi Profsoyuz Stadion,"31,793",Voronezh,FC Fakel Voronezh,1930
15,Kuban Stadium,"31,654",Krasnodar,FC Kuban Krasnodar,1961
16,Akhmat-Arena,"30,597",Grozny,FC Terek Grozny,2011
17,VEB Arena,"30,433",Moscow,CSKA Moscow,2016
18,Lokomotiv Stadium,"27,320",Moscow,FC Lokomotiv Moscow,2002
19,Anzhi-Arena,"26,400",Kaspiysk,FC Anzhi Makhachkala,2003
20,VTB Arena,"26,319",Moscow,FC Dynamo Moscow,1928
