Pos,No,Team,Driver,Car,Qual
1,17,Shell Ultra Hi Racing,Dick Johnson,Ford Sierra RS500,1:15.24
2,35,Peter Jackson Racing,Glenn Seton,Ford Sierra RS500,1:15.31
3,28,Playscape Racing,Kevin Waldock,Ford Sierra RS500,1:15.57
4,16,Holden Racing Team,Win Percy,Holden VL Commodore SS Group A SV,1:15.80
5,9,Allan Moffat Enterprises,Klaus Niedzwiedz,Ford Sierra RS500,1:16.41
6,05,Mobil 1 Racing,Peter Brock,Ford Sierra RS500,1:16.43
7,18,Shell Ultra Hi Racing,Jeff Allam,Ford Sierra RS500,1:16.44
8,6,Mobil 1 Racing,Andrew Miedecke,Ford Sierra RS500,1:16.59
9,23,Beaurepaires Motorsport,Chris Lambden,Nissan Skyline HR31 GTS-R,1:17.01
10,11,Perkins Motorsport,Larry Perkins,Holden VL Commodore SS Group A SV,1:17.44
