Finish Position,Margin ( lengths ),Post Position,Horse name,Jockey,Trainer,Owner,Post Time Odds
1 st,0,1A,Personality,Ethel D. Jacobs,John W. Jacobs,Eddie Belmonte,3.40-1
2 nd,neck,6,My Dad George,Ray Broussard,Frank J. McManus,Raymond M. Curtis,2.60-1 favorite
3 rd,3 1/4,2,Silent Screen,John L. Rotz,J. Bowes Bond,Elberon Farms,4.20-1
4 th,5 1/4,1,High Echelon,Larry Adams,Hirsch Jacobs,Ethel D. Jacobs,4.50-1
5 th,6 1/4,3,Naskra,Ron Turcotte,Philip G. Johnson,Her-Jac Stables,6.70-1
6 th,6 3/4,5,Sir Wiggle,Howard Grant,Robert L. Wheeler,Nelson Bunker Hunt,116.40-1
7 th,8 3/4,13,Stop Time,Bill Hartack,Joseph W. Mergler,Briardale Farms,34.20-1
8 th,9,9,Admiral 's Shield,Jimmy Nichols,Harvey L. Vanier,"William C. Robinson , Jr",23.90-1
9 th,9 1/2,7,Dust Commander,Mike Manganello,Don Combs,Robert E. Lehmann,3.40-1 favorite
10 th,9 3/4,4,Buzkashi,Michael Hole,J . Woods Garth,James P. Mills,32.70-1
11 th,10,11,Robin 's Bug,Leroy Moyers,Tracey Bougan,Walter J. Hickey,59.00-1
12 th,12 1/2,12,Hark The Lark,Ben Feliciano,Larry Boyce,Larry Boyce,34.20-1
13 th,19 1/2,10,Plenty Old,Henry E. Moreno,Mesh Tenney,Rex C. Ellsworth,52.10-1
14 th,23 1/2,8,Oh Fudge,Joe Culmone,Eldon Coffman,Harbor View Farm,94.50-1
