Date,Position,Name,From,Fee
14 June 2012,DF,Tadej Apatič,Domžale,Undisclosed
15 June 2012,MF,Saša Marjanović,Jagodina,Undisclosed
15 June 2012,MF,Marko Stanojević,Rad,Undisclosed
21 June 2012,FW,Boris Alfaro,Universitario,Undisclosed
23 June 2012,MF,Alexandru Pașcenco,Rapid Ghidighici,Undisclosed
2 July 2012,DF,Tomislav Pajović,Rad,Undisclosed
19 July 2012,MF,Stanislav Ivanov,Lokomotiv Moscow,Undisclosed
11 August 2012,FW,Sergiu Dadu,,Free
2 September 2012,FW,Ciprian Tănasă,Alki Larnaca,Undisclosed
20 February 2013,DF,Krzysztof Król,Podbeskidzie Bielsko-Biała,Undisclosed
20 February 2013,FW,Marko Markovski,Skoda Xanthi,Undisclosed
