Destination,Time from Bristol Temple Meads,Time from Bristol Parkway,Operator ( s )
Avonmouth,23 - 35 minutes,N/A,GWR
Bath Spa,11 - 19 minutes,28 - 47 minutes,GWR / SWR
Bristol Parkway,8 - 21 minutes,N/A,CrossCountry / GWR
Bristol Temple Meads,N/A,9 - 20 minutes,CrossCountry / GWR
Birmingham New Street,83 - 122 minutes,71 - 93 minutes,CrossCountry
Cardiff Central,47 - 63 minutes,35 - 66 minutes,CrossCountry / GWR
Cheltenham Spa,38 - 68 minutes,29 - 57 minutes,CrossCountry / GWR
Edinburgh Waverley,393 - 399 minutes,,CrossCountry
Exeter St Davids,56 - 112 minutes,69-109 minutes,CrossCountry / GWR
Glasgow Central,461 - 471 minutes,456-464 minutes,CrossCountry
Gloucester,38 - 57 minutes,26-44 minutes,CrossCountry / GWR
Leeds,210 - 217 minutes,202-215 minutes,CrossCountry
London Paddington,97 - 152 minutes,83-106 minutes,GWR
London Waterloo,177 - 180 minutes,N/A,SWR
Manchester Piccadilly,179 - 180 minutes,168-169 minutes,CrossCountry
Newcastle,299 - 303 minutes,,CrossCountry
Newport,30 - 47 minutes,21-23 minutes,GWR
Paignton,97 - 145 minutes,118 minutes,CrossCountry / GWR
Penzance,236 - 292 minutes,,CrossCountry / GWR
Plymouth,114 - 167 minutes,,CrossCountry / GWR
