Opponent,S,Occurrences,GP,Rec,%
Detroit Red Wings,6,"1996 , 1997 , 1999 , 2000 , 2002 , 2008",34,3-3,.500
Montreal Canadiens,5,"1982 , 1984 , 1985 , 1987 , 1993",31,2-3,.400
San Jose Sharks,5,"1999 , 2002 , 2004 , 2010 , 2019",32,2-3,.400
Dallas Stars,4,"1999 , 2000 , 2004 , 2006",24,2-2,.500
Minnesota Wild,3,"2003 , 2008 , 2014",20,1-2,.333
Buffalo Sabres,2,"1984 , 1985",8,2-0,1.000
Chicago Blackhawks,2,"1996 , 1997",12,2-0,1.000
Los Angeles Kings,2,"2001 , 2002",14,2-0,1.000
Vancouver Canucks,2,"1996 , 2001",10,2-0,1.000
Boston Bruins,2,"1982 , 1983",11,1-1,.500
Carolina Hurricanes,2,"1986 , 1987",9,1-1,.500
Edmonton Oilers,2,"1997 , 1998",12,1-1,.500
Philadelphia Flyers,2,"1981 , 1985",11,0-2,.000
Arizona Coyotes,1,2000,5,1-0,1.000
Calgary Flames,1,2019,5,1-0,1.000
Florida Panthers,1,1996,4,1-0,1.000
New Jersey Devils,1,2001,7,1-0,1.000
St. Louis Blues,1,2001,5,1-0,1.000
Anaheim Ducks,1,2006,4,0-1,.000
Nashville Predators,1,2018,6,0-1,.000
