Rank,Name,Length ( m ),Span ( m ),Completed,Location
1,Oresund Bridge ( Øresundsbroen ),"7,845 ( 2,300 in Denmark )",490,2000,Øresund ( Copenhagen - Malmö )
2,Great Belt East Bridge ( Østbroen ) ( Storebæltsbroen ),"6,790","1,624",1998,Storebælt ( Sjælland - Sprogø )
3,Great Belt West Bridge ( Vestbroen ) ( Storebæltsbroen ),"6,611",110,1998,Storebælt ( Sprogø - Fyn )
4,Storstrøm Bridge,"3,199",136,1937,Storstrømmen ( Falster - Masnedø )
5,Farø South Bridge,"1,726",290,1984,Farø - Falster
6,Sallingsund Bridge ( Sallingsundbroen ),"1,717",93,1978,Sallingsund ( Mors - Jylland )
7,Vejle Fjord Bridge ( Vejlefjordbroen ),"1,712",110,1980,Vejle Fjord
8,New Little Belt Bridge ( Lillebæltsbroen ),"1,700",600,1970,Little Belt ( Jylland - Fyn )
9,Farø North Bridge,"1,526",?,1984,Farø - Sjælland
10,Svendborgsund Bridge Svenborgsundbroen ),"1,220",90,1966,Svendborgsund ( Fyn - Tåsinge )
11,Little Belt Bridge ( Lille Belt ),"1,178",220,1935,Lillebælt ( Jylland - Fyn )
12,Langeland Bridge,774,91,1962,Langeland - Siø
13,Queen Alexandrine Bridge ( Dronning Alexandrines bro ),745,127,1943,Sjælland - Møn
14,Alssund Bridge ( Alssundsbroen ),660,150,1981,Sønderborg ( Als - Jylland )
15,Limfjord Bridge ( Limfjordsbroen ),640.4,,1933,Limfjord ( peninsular Jutland - North Jutlandic Island )
16,Siøsund Bridge ( Siøsundbroen ),558,-,1959,Siøsund Tåsinge - Siø )
17,Oddesund Bridge ( Oddesundbroen ),472,?,1938,Limfjord
18,Vilsund Bridge Vilsundbroen,382,30,1939,Vilsund ( Jylland )
19,Frederick IX Bridge ( Frederik IX 's bro ),295,25,1963,Guldborgsund ( Lolland - Falster )
20,Langebro,250,?,1954,Port of Copenhagen
