Team,Head coach,Captain,Kit manufacturer,Shirt sponsor
AIK,Andreas Alm,Daniel Tjernström,adidas,Åbro
Djurgårdens IF,Magnus Pehrsson,Joona Toivio,adidas,ICA
IF Elfsborg,Jörgen Lennartsson,Anders Svensson,Umbro,Various
GAIS,Benjamin Westman ( caretaker ),Fredrik Lundgren,Puma,Various
Gefle IF,Per Olsson,Daniel Bernhardsson,Umbro,Sandvik
IFK Göteborg,Mikael Stahre,Tobias Hysén,adidas,Prioritet Finans
Helsingborgs IF,Åge Hareide ( caretaker ),Pär Hansson,Puma,Resurs Bank
BK Häcken,Peter Gerhardsson,Jonas Henriksson,Nike,BRA Bygg
Kalmar FF,Nanne Bergstrand,Henrik Rydström,Puma,Småländska Hjältevadshus
Malmö FF,Rikard Norling,Stoick Jorgensen ] ],Puma,None
Mjällby AIF,Peter Swärdh,Patrik Rosengren,Umbro,Various
IFK Norrköping,Janne Andersson,Stoick,Puma,Holmen
GIF Sundsvall,Sören Åkeby,Ari Skúlason,adidas,Various
Syrianska FC,Özcan Melkemichel Klebér Saarenpää,Suleyman Sleyman,Nike,Telge
Åtvidabergs FF,Andreas Thomsson,Henrik Gustavsson,Uhlsport,Various
Örebro SK,Per-Ola Ljung,Magnus Wikström,Puma,Malmbergs
