Title,Year,Genre
Badger 's Green,1934,Comedy
Badger 's Green,1949,Comedy
It 's Not Cricket,1949,Comedy
The Final Test,1953,Drama
Playing Away,1987,Comedy
Awwal Number,1990,Action
Lagaan,2001,Drama
Wondrous Oblivion,2003,Comedy-drama
Iqbal,2005,Drama
Hit for Six,2007,Drama
Chennai 600028,2007,"Comedy , Drama"
Chain Kulii Ki Main Kulii,2007,Comedy-drama
Say Salaam India,2007,Drama
Hattrick,2007,Comedy-drama
Meerabai Not Out,2008,Drama
Hansie,2008,Drama
I Know How Many Runs You Scored Last Summer,2008,Comedy-horror
Victory,2009,Drama
Dil Bole Hadippa !,2009,Comedy-drama
Tournament - Play & Replay,2010,Road movie
