Year,Horse,Trainer,Owner
1935,Tintagel,George M. Odom,Marshall Field III
1934,Balladier,Herbert J. Thompson,Edward R. Bradley
1933,Cavalcade,Robert Augustus Smith,Isabel Dodge Sloane
1932,Ladysman,Bud Stotler,William R. Coe
1931,Burning Blaze,John B. Partridge,Pat & Richard Nash
1930,Jamestown,A. Jack Joyner,George D. Widener Jr
1930,Equipoise,Fred Hopkins,Cornelius Vanderbilt Whitney
1929,Whichone,James G. Rowe Jr,Harry Payne Whitney
1928,High Strung,George M. Odom,Marshall Field III
1927,Reigh Count,Henry E. McDaniel,Fannie Hertz
1927,Dice,James E. Fitzsimmons,Wheatley Stable
1926,Scapa Flow,Scott P. Harlan,Walter M. Jeffords Sr
1925,Pompey,William H. Karrick,William R. Coe
1924,Master Charlie,Andrew Blakely,William Daniel
1923,St. James,A. Jack Joyner,George D. Widener Jr
1923,Wise Counsellor,John S. Ward,Frederick A. Burton & John S. Ward
1922,Zev,Sam Hildreth,Rancocas Stable
1921,Morvich,Fred Burlew,Benjamin Block
1920,Tryster,James G. Rowe Sr,Harry Payne Whitney
1919,Man o ' War,Louis Feustel,Samuel D. Riddle
