Team,Home town/suburb,Home ground
Bangor Celtic,"Crumlin , Dublin",Iveagh Grounds
Bluebell United,Bluebell /Red Cow,Capco Park
Cherry Orchard,Ballyfermot,Elmdale Crescent
Crumlin United,"Crumlin , Dublin",Pearse Park
Drumcondra,"Clonturk , Drumcondra",Clonturk Park
Firhouse Clover,Firhouse,Belgard Road
Greystones United,Greystones,Woodlands
Killester United,Killester,Haddon Park
Malahide United,Malahide,Gannon Park
St. Patrick 's C.Y.F.C,Ringsend,Irishtown Stadium
St. Mochtas F.C,Clonsilla / Blanchardstown,Porterstown Road
Tolka Rovers,Glasnevin,Frank Cooke Park
UCD Reserves,"Belfield , Dublin",UCD Bowl
Wayside Celtic,Kilternan,Jackson Park
