Year,Winner,Party
1952,Sanaka Buchhikotaiah,Communist Party of India
1957,Mandali Venkata Krishna Rao,Indian National Congress
1962,Mandala Venkata Swamy Naidu,Independent
1967,Y. Ankeenidu Prasad,Indian National Congress
1971,Nageswararao Meduri,Indian National Congress
1977,Maganti Ankineedu,Indian National Congress
1980,Ankineedu Maganti,Indian National Congress
1984,Kavuru Samba Siva Rao,Indian National Congress
1989,Kavuru Samba Siva Rao,Indian National Congress
1991,Kolusu Peda Reddaiah Yadav,Telugu Desam Party
1996,Satyanarayana Kaikala,Telugu Desam Party
1998,Kavuru Samba Siva Rao,Indian National Congress
1999,Ambati Brahmanaiah,Telugu Desam Party
2004,Ramakrishna Badiga,Indian National Congress
2009,Konakalla Narayana Rao,Telugu Desam Party
2014,Konakalla Narayana Rao,Telugu Desam Party
2019,Balashowry Vallabhaneni,YSR Congress Party
