No,Name,Net worth ( USD ),Age,Nationality,Source ( s ) of wealth
1,Warren Buffett,$ 62.0 billion,77,United States,Berkshire Hathaway
2,Carlos Slim,$ 60.0 billion,68,Mexico,"América Móvil , Grupo Carso"
3,Bill Gates,$ 58.0 billion,52,United States,Microsoft
4,Lakshmi Mittal,$ 45.0 billion,57,India,Arcelor Mittal
5,Mukesh Ambani,$ 43.0 billion,51,India,Reliance Industries
6,Anil Ambani,$ 42.0 billion,48,India,Anil Dhirubhai Ambani Group
7,Ingvar Kamprad,$ 31.0 billion,81,Sweden,IKEA
8,Kushal Pal Singh,$ 30.0 billion,76,India,DLF Group
9,Oleg Deripaska,$ 28.0 billion,40,Russia,Rusal
10,Karl Albrecht,$ 27.0 billion,88,Germany,Aldi Süd
