Season,Event type,Location,Format,Date,Rank
2001-02,Pro Tour,San Diego,Rochester Draft,"January 10-13 , 2002",8
2001-02,Grand Prix,New Jersey,Team Limited,"June 29-30 , 2002",4
2002-03,Grand Prix,Amsterdam,Team Limited,"June 7-8 , 2003",2
2003-04,Grand Prix,Washington DC,Team Limited,"April 17-18 , 2004",4
2006,Grand Prix,"Madison , Wisconsin",Team Constructed,"March 25-26 , 2006",3
2010,Nationals,Minneapolis,Special,"August 20-23 , 2010",5
2010,Grand Prix,Toronto,Sealed and Booster Draft,"October 23-24 , 2010",5
2010,Worlds,Chiba,Special,"December 9-12 , 2010",5
2012-13,Grand Prix,Anaheim,Block Constructed,"May 26-27 , 2012",4
2012-13,Grand Prix,San Jose,Team Limited,"October 13-14 , 2012",3
2012-13,Pro Tour,Montreal,Standard and Booster Draft,"February 15-17 , 2013",4
2012-13,Grand Prix,San Diego,Modern,"March 16-17 , 2013",3
2012-13,Grand Prix,Pittsburgh,Sealed and Booster Draft,"March 23-24 , 2013",4
2013-14,Grand Prix,Phoenix,Standard,"April 5-6 , 2014",6
2014-15,Grand Prix,Portland,Team Limited,"August 8-10 , 2014",4
2014-15,Grand Prix,Salt Lake City,Limited,"September 6-7 , 2014",4
2014-15,Grand Prix,San Jose,Team Limited,"January 31-February 1 , 2015",1
2014-15,Pro Tour,Washington DC,Modern and Booster Draft,"February 6-8 , 2015",5
2015-16,Grand Prix,Detroit,Team Limited,"August 15-16 , 2015",2
2016-17,Grand Prix,Mexico City,Team Limited,"April 7-9 , 2017",1
