#,Title,Characters,Director,Year,Series
1,Hare Trigger,"Bugs , Sam",Friz Freleng,"May 5 , 1945",MM
2,To Duck or Not to Duck,"Daffy , Elmer",Chuck Jones,"March 6 , 1943",LT
3,The Birth of a Notion,Daffy,Robert McKimson,"April 12 , 1947",LT
4,My Little Duckaroo,"Daffy , Porky , Nasty Canasta",Chuck Jones,"November 27 , 1954",MM
5,Crowing Pains,"Foghorn ( supporting role ) , Henery ( main role ) , Sylvester ( guest role ) , Barnyard ( supporting role )",Robert McKimson,"July 12 , 1947",LT
6,Raw ! Raw ! Rooster !,Foghorn,Robert McKimson,"August 25 , 1956",LT
7,Heaven Scent,"Pepé , Penelope",Chuck Jones,"March 31 , 1956",MM
8,My Favorite Duck,"Daffy , Porky",Chuck Jones,"December 5 , 1942",LT
9,Jumpin ' Jupiter,"Porky , Sylvester",Chuck Jones,"August 6 , 1955",MM
10,Satan 's Waitin ',"Tweety , Sylvester",Friz Freleng,"August 7 , 1954",LT
11,"Hook , Line and Stinker",Wile E. Coyote and the Road Runner,Chuck Jones,"October 11 , 1958",LT
12,Bear Feat,The Three Bears,Chuck Jones,"December 10 , 1949",LT
13,Dog Gone South,"Charlie , Colonel Shuffle",Chuck Jones,"August 27 , 1950",MM
14,A Ham in a Role,Goofy Gophers,Robert McKimson,"December 31 , 1949",LT
15,Often an Orphan,"Porky , Charlie",Chuck Jones,"August 13 , 1949",MM
