Date,Name,Moving from,Moving to,Fee
"June 2 , 2008",Yves Vanderhaeghe,Roeselare,Kortrijk,End of Career
"June 3 , 2008",Sven De Volder,Club Brugge,Mouscron,Undisclosed
"June 4 , 2008",Bartholomeo Ferrara,Sochaux,Germinal Beerschot,Undisclosed
"June 4 , 2008",Khaled Kharroubi,Valenciennes,Dender,Undisclosed
"June 4 , 2008",Sven Kums,Anderlecht,Kortrijk,Undisclosed
"June 4 , 2008",Hernán Losada,Germinal Beerschot,Anderlecht,Undisclosed
"June 4 , 2008",Henri Munyaneza,Dender,Germinal Beerschot,Undisclosed
"June 4 , 2008",Cyril Théréau,Anderlecht,Charleroi,Undisclosed
"June 5 , 2008",Janne Hietanen,Troyes,Roeselare,Undisclosed
"June 5 , 2008",Dániel Tőzsér,AEK Athens,Genk,Undisclosed
"June 6 , 2008",Nikica Jelavić,Zulte-Waregem,Rapid Wien,Loan
"June 7 , 2008",Sébastien Dufoor,Roeselare,Tienen,Undisclosed
"June 7 , 2008",Steven Jacobs,Mönchengladbach,Dender,Undisclosed
"June 9 , 2008",Cédric Bétrémieux,Kortrijk,Roeselare,Undisclosed
"June 10 , 2008",João Carlos,Lokeren,Genk,Undisclosed
"June 11 , 2008",Wilfried Dalmat,Mons,Standard Liège,Undisclosed
"June 11 , 2008",Adam Nemec,Erzgebirge Aue,Genk,Undisclosed
"June 11 , 2008",Cheik Tioté,Anderlecht,Twente,€2.5m
"June 12 , 2008",Issame Charaï,Mechelen,Sint-Truiden,Undisclosed
"June 12 , 2008",Daan Vaesen,Roeselare,Sint-Truiden,Undisclosed
