#,Artist,Artist 's nationality,Title
1,Bob Sinclar presents Goleo VI featuring Gary Pine,France Germany Jamaica,Love Generation
2,Texas Lightning,Germany,No No Never
3,Shakira featuring Wyclef Jean,Colombia Haiti,Hips Do n't Lie
4,Gnarls Barkley,United States,Crazy
5,Sportfreunde Stiller,Germany,"54 ' , 74 ' , 90 ' , 2006"
6,Herbert Grönemeyer featuring Amadou & Mariam,Germany Mali,"Zeit , dass sich was dreht"
7,Mattafix,United Kingdom,Big City Life
8,Silbermond,Germany,Das Beste
9,Eros Ramazzotti & Anastacia,Italy United States,I Belong to You ( Il Ritmo della Passione )
10,Xavier Naidoo,Germany,Dieser Weg
11,Madonna,United States,Hung Up
12,Nelly Furtado,Canada,Maneater
13,Tobias Regner,Germany,I Still Burn
14,Rihanna,Barbados,Unfaithful
15,Xavier Naidoo,Germany,Danke
16,Rosenstolz,Germany,Ich bin ich ( wir sind wir )
17,Oliver Pocher,Germany,Schwarz und weiß
18,Scissor Sisters,United States,I Do n't Feel Like Dancin '
19,Kelly Clarkson,United States,Because of You
20,Karmah,Italy,Just Be Good To Me
