Round,Pick,Player,Team,Position
2,28,Lee Smith,Chicago Cubs,Pitcher
3,49,Carney Lansford,California Angels,Shortstop
3,68,Don Robinson,Pittsburgh Pirates,Pitcher
4,75,Jason Thompson,Detroit Tigers,Pitcher-First Baseman
4,84,Dickie Noles,Philadelphia Phillies,Pitcher
5,99,Lou Whitaker,Detroit Tigers,Third Baseman
7,156,Keith Moreland,Philadelphia Phillies,Third Baseman
11,250,Andre Dawson,Montreal Expos,Outfielder
15,357,Bob Horner *,Oakland Athletics,Shortstop
16,384,Dave Stewart,Los Angeles Dodgers,Pitcher
20,473,Glenn Hubbard,Atlanta Braves,Second Baseman
21,484,John Tudor *,New York Mets,Pitcher
