Year,Horse,Trainer,Owner
1949,Hill Prince ( DRF ),Casey Hayes,Christopher Chenery
1949,Oil Capitol ( TSD ),Harry Trotsek,Thomas Gray & Cora M. Trotsek
1948,Blue Peter,Andy Schuttinger,Joseph M. Roebling
1947,Citation,Ben & Horace Jones,Calumet Farm
1946,Double Jay,Walter L. McCue,James V. Tigani & James Boines
1945,Star Pilot,Tom Smith,Maine Chance Farm
1944,Pavot,Oscar White,Walter M. Jeffords Sr
1943,Platter ( DRF ),Bert Mulholland,George D. Widener Jr
1943,Occupy ( TSD ),Burley Parke,John Marsch
1942,Count Fleet,Don Cameron,Fannie Hertz
1941,Alsab,Sarge Swenke,Albert Sabath
1940,Whirlaway ( TSD ),Ben A. Jones,Calumet Farm
1940,Our Boots ( DRF ),Steve Judge,Royce G. Martin
1939,Bimelech,William A. Hurley,Edward R. Bradley
1938,El Chico,Matthew P. Brady,William Ziegler Jr
1937,Menow,Duval A. Headley,Hal Price Headley
1936,Pompoon,Johnny Loftus,Jerome H. Louchheim
