Type,Symbol,Date Designated
Air force,Commemorative Air Force,
Bread,Pan de campo,
Cooking implement,Dutch oven,
Dinosaur,Sauroposeidon,
Dish,Chili,1977
Domino game,"Texas 42 , a four-player domino game with bidding and trumps",
Fiber and fabric,Cotton,1997
Fish,Guadalupe bass ( Micropterus treculii ),1989
Folk dance,Square dance,1991
Fruit,Texas red grapefruit,1993
Gem,Texas blue topaz,1969
Gemstone cut,Lone Star Cut,
Grass,Sideoats grama ( Bouteloua curtipendula ),1971
Insect,Monarch butterfly ( Danaus plexippus ),1995
Molecule,"Buckyball or Buckminsterfullerene , C 60",
Music,Western swing,
Musical instrument,Acoustic guitar,
Nut,Native Pecan,1919
Pepper ( native ),Chiltepin ( Capsicum annuum var . glabriusculum ),
Pepper ( other ),Jalapeño,1995
