Year,Title,Role
1970,Country Dance,District Nurse
1970,Every Home Should Have One,Maud Crape
1972,Our Miss Fred,Miss Lockhart
1974-1978,Rising Damp,Miss Ruth Jones
1976,To the Devil a Daughter,Salvation Army Major
1977,Wombling Free,Julia Frogmorton
1977,Maggie : It 's Me,Maggie
1980,Rising Damp,Miss Ruth Jones
1980,Flickers,Maud Cole
1983,The Bounder,Celia
1984,Ellis Island,Millie Renfrew
1985,Murder with Mirrors,Miss Bellaver
1990,Strike It Rich,Mrs. De Vere
1996,Cold Lazarus,Emma Porlock
1997,The History of Tom Jones : A Foundling,Aunt Western
1998,Heartbeat,Tessa
1999,The Cherry Orchard,Charlotte Ivanova
2004,Agatha Christie 's Poirot,Salome Otterbourne
2004,Waking the Dead,Alice Taylor-Garrett
2005,Harry Potter and the Goblet of Fire,Madame Olympe Maxime
