Season,Winner,Team,Position,Win #
1977-78,Bob Gainey,Montreal Canadiens,LW,1
1978-79,Bob Gainey,Montreal Canadiens,LW,2
1979-80,Bob Gainey,Montreal Canadiens,LW,3
1980-81,Bob Gainey,Montreal Canadiens,LW,4
1981-82,Steve Kasper,Boston Bruins,C,1
1982-83,Bobby Clarke,Philadelphia Flyers,C,1
1983-84,Doug Jarvis,Washington Capitals,C,1
1984-85,Craig Ramsay,Buffalo Sabres,LW,1
1985-86,Troy Murray,Chicago Blackhawks,C,1
1986-87,Dave Poulin,Philadelphia Flyers,C,1
1987-88,Guy Carbonneau,Montreal Canadiens,C,1
1988-89,Guy Carbonneau,Montreal Canadiens,C,2
1989-90,Rick Meagher,St. Louis Blues,C,1
1990-91,Dirk Graham,Chicago Blackhawks,RW,1
1991-92,Guy Carbonneau,Montreal Canadiens,C,3
1992-93,Doug Gilmour,Toronto Maple Leafs,C,1
1993-94,Sergei Fedorov,Detroit Red Wings,C,1
1994-95,Ron Francis,Pittsburgh Penguins,C,1
1995-96,Sergei Fedorov,Detroit Red Wings,C,2
1996-97,Michael Peca,Buffalo Sabres,C,1
