Date,Tournament,Location,Winner,OWGR points
Jan 31,Michael Hill New Zealand Open,New Zealand,Bobby Gates ( 1 ),16
Feb 7,Moonah Classic,Australia,Jim Herman ( 1 ),16
Feb 28,Panama Claro Championship,Panama,Fran Quinn ( 4 ),16
Mar 7,Pacific Rubiales Bogotá Open,Colombia,Steve Pate ( 1 ),14
Mar 28,Chitimacha Louisiana Open,Louisiana,Fabián Gómez ( 1 ),14
Apr 18,Fresh Express Classic at TPC Stonebrae,California,Kevin Chappell ( 1 ),14
Apr 25,South Georgia Classic,Georgia,Ewan Porter ( 2 ),14
May 2,Stadion Athens Classic at UGA,Georgia,Martin Piller ( 1 ),14
May 16,BMW Charity Pro-Am,South Carolina North Carolina,Justin Hicks ( 2 ),14
May 23,Rex Hospital Open,North Carolina,John Riegger ( 2 ),14
Jun 6,Melwood Prince George 's County Open,Maryland,Tommy Gainey ( 1 ),14
Jun 20,Fort Smith Classic,Arkansas,Chris Kirk ( 1 ),14
Jun 27,Mexico Open Bicentenary,Mexico,Jamie Lovemark ( 1 ),14
Jul 11,Ford Wayne Gretzky Classic,Canada,Peter Tomasulo ( 2 ),14
Jul 18,Chiquita Classic,Ohio,Tommy Gainey ( 2 ),14
Jul 25,Nationwide Children 's Hospital Invitational,Ohio,D. J. Brigman ( 2 ),14
Aug 1,Cox Classic,Nebraska,Martin Piller ( 2 ),14
Aug 8,Preferred Health Systems Wichita Open,Kansas,Jhonattan Vegas ( 1 ),14
Aug 15,Price Cutter Charity Championship,Missouri,Hunter Haas ( 3 ),14
Aug 29,Knoxville News Sentinel Open,Tennessee,Chris Kirk ( 2 ),14
