Team,Location,Stadium,Turf,Stadium capacity
AIK,Stockholm,Friends Arena,Natural,"54,000"
BK Häcken,Gothenburg,Gamla Ullevi,Natural,"18,900"
Djurgårdens IF,Stockholm,Tele2 Arena,Artificial,"33,000"
Falkenbergs FF,Falkenberg,Falkenbergs IP,Natural,"5,000"
Gefle IF,Gävle,Strömvallen,Artificial,"7,200"
Halmstads BK,Halmstad,Örjans Vall,Natural,"15,500"
Helsingborgs IF,Helsingborg,Olympia,Natural,"16,500"
IF Brommapojkarna,Stockholm,Grimsta IP,Artificial,"8,000"
IF Elfsborg,Borås,Borås Arena,Artificial,"16,899"
IFK Göteborg,Gothenburg,Gamla Ullevi,Natural,"18,900"
IFK Norrköping,Norrköping,Idrottsparken,Artificial,"15,734"
Kalmar FF,Kalmar,Guldfågeln Arena,Natural,"12,182"
Malmö FF,Malmö,Swedbank Stadion,Natural,"24,000"
Mjällby AIF,Mjällby,Strandvallen,Natural,"7,500"
Åtvidabergs FF,Åtvidaberg,Kopparvallen,Artificial,"8,000"
Örebro SK,Örebro,Behrn Arena,Artificial,"13,129"
