Position,Player,From club,Fee
DC,Martin Kafando,Union Sportive des Forces Armées,align=right| 0
GK,Mohd Nor Haziq Aris,UiTM F.C,align=right| 0
GK,Razi Effendi Suhit,PKNS F.C,align=right| 0
DLC,Azmeer Yusof,Negeri Sembilan FA,align=right| 0
DR,Muhamad Tuah Iskandar,Johor Darul Takzim F.C,align=right| 0
DC,Mohd Fazli Zulkifli,Felda United F.C,align=right| 0
AMC,Kyaw Zayar Win,Kanbawza F.C,align=right| 0
AMLC,Hardi Jaafar,Free agents,align=right| 0
DL,Mohd Idris Ahmad,PDRM FA,align=right| 0
MR,Mohd Hidayat Amaruddin,UiTM F.C,align=right| 0
ST,Shahrizal Saad,Felda United F.C,align=right| 0
DL,Mohd Norhizwan Hassan,UiTM F.C,align=right| 0
ST,Želimir Terkeš,NK Zadar,align=right| 0
ST,Eliel da Cruz Guardiano,Cruzeiro Esporte Clube ( Rio Grande do Sul ),align=right| 0
