Year,Event,Location,Players,Position
1992,30th Chess Olympiad,"Manila , Philippines","Vaganian , Akopian , Lputian , Minasian , A. Petrosian , Anastasian",
1994,31st Chess Olympiad,"Moscow , Russia","Vaganian , Akopian , Lputian , Anastasian , Minasian , Yegiazarian",13
1996,32nd Chess Olympiad,"Yerevan , Armenia","Akopian , Vaganian , Lputian , Minasian , Anastasian , A. Petrosian",5
1998,33rd Chess Olympiad,"Elista , Russia","Vaganian , Lputian , Akopian , Minasian , Asrian , Anastasian",16
2000,34th Chess Olympiad,"Istanbul , Turkey","Vaganian , Lputian , Minasian , Anastasian , Asrian , Sargissian",17
2002,35th Chess Olympiad,"Bled , Slovenia","Akopian , Lputian , Asrian , Sargissian , Minasian , Anastasian",
2004,36th Chess Olympiad,"Calviá , Spain","Akopian , Aronian , Vaganian , Lputian , Sargissian , Minasian",
2006,37th Chess Olympiad,"Turin , Italy","Aronian , Akopian , Asrian , Lputian , Sargissian , Minasian",
2008,38th Chess Olympiad,"Dresden , Germany","Aronian , Akopian , Sargissian , T. Petrosian , Minasian",
2010,39th Chess Olympiad,"Khanty-Mansiysk , Russia","Aronian , Akopian , Sargissian , Pashikian , Grigoryan",7
2012,40th Chess Olympiad,"Istanbul , Turkey","Aronian , Movsesian , Akopian , Sargissian , T. Petrosian",
2014,41st Chess Olympiad,"Tromsø , Norway","Aronian , Sargissian , Movsesian , Akopian , Kotanjian",8
2016,42nd Chess Olympiad,"Baku , Azerbaijan",did not participate,-
2018,43rd Chess Olympiad,"Batumi , Georgia","Aronian , Sargissian , Melkumyan , Hovhannisyan , Martirosyan",8
