Character / Team,Year Debuted,Company,Creator/s,First Appearance
Kyle Abbot,2000,DC,Greg Rucka,Detective Comics # 743
Able Crown,2000,DC,,Detective Comics # 744
Agamemno,2000,DC,,Silver Age # 1
Orca,2000,DC,Larry Hama,Batman # 579
Zeiss,2000,DC,"Ed Brubaker , Scott McDaniel",Batman # 582
Mortalla,2000,DC,Walt Simonson,Orion # 6
Queen of Fables,2000,DC,"Mark Waid , Gail Simone",JLA # 47
Nero,2001,DC,"Judd Winick , Darryl Banks , Mark Bright",Green Lantern Vol . 3 # 132
"Black , White Bandit",2001,DC,Dave Gibbons,Batman : Gotham Knights # 12
Blacksmith,2001,DC,"Geoff Johns , Ethan Van Sciver",Iron Heights
Double Down,2001,DC,"Geoff Johns , Ethan Van Sciver",Flash : Iron Heights
Girder,2001,DC,"Geoff Johns , Ethan Van Sciver",Flash : Iron Heights
Murmur,2001,DC,"Geoff Johns , Ethan Van Sciver",Flash : Iron Heights
Cicada,2001,DC,"Geoff Johns , Scott Kollins","The Flash v2 , # 171"
Onimar Synn,2001,DC,"David S. Goyer , Geoff Johns",JSA # 23
Tar Pit,2001,DC,"Geoff Johns , Scott Kollins",Flash v.2 # 174
Monsieur Stigmonus,2001,DC,"J. M. DeMatteis , Ryan Sook",The Spectre v4 # 6
Manchester Black,2001,DC,"Joe Kelly , Doug Mahnke",Action Comics # 775
Mongal,2001,DC,,Superman # 170
Morlun,2001,Marvel,"J. Michael Straczynski , John Romita , Jr",The Amazing Spider-Man # 471
