Round,Pick #,Overall,Name,Position,College
1,2,2,Clinton Jones,Running back,Michigan State
1,8,8,Gene Washington,Wide receiver,Michigan State
1,15,15,Alan Page,Defensive tackle,Notre Dame
2,2,28,Bob Grim,Wide receiver,Oregon State
3,8,61,Earl Denny,Wide receiver,Missouri
4,7,87,Alvin Coleman,Defensive back,Tennessee A & I
5,8,115,Ken Last,Wide receiver,Minnesota
7,8,167,Bobby Bryant,Cornerback,South Carolina
8,12,197,John Beasley,Tight end,California
9,8,219,Bill Morris,Guard,Holy Cross
10,7,244,Pete Tatman,Running back,Nebraska
11,8,271,Bob Trygstad,Defensive tackle,Washington State
12,6,296,Fred Cremer,Guard,Saint John 's ( MN )
13,8,323,Charles Hardt,Defensive back,Tulsa
14,7,348,Jimmy Hargrove,Linebacker,Howard Payne
15,8,375,Jimmy Shea,Defensive back,Eastern New Mexico
16,7,400,Gene Beard,Defensive back,Virginia Union
17,8,427,Todd Vandal,Defensive back,North Dakota State
