Dates,Tournament,Host country,Winner
16-19 Nov,Johnnie Walker Classic,Thailand,Tiger Woods ( n/a )
3-7 Jan,WGC-Accenture Match Play Championship,Australia,Steve Stricker ( n/a )
18-21 Jan,Alfred Dunhill Championship,South Africa,Adam Scott ( 1 )
25-28 Jan,Mercedes-Benz South African Open,South Africa,Mark McNulty ( 16 )
1-4 Feb,Heineken Classic,Australia,Michael Campbell ( 4 )
8-11 Feb,Greg Norman Holden International,Australia,Aaron Baddeley ( 1 )
15-18 Feb,Carlsberg Malaysian Open,Malaysia,Vijay Singh ( 10 )
22-25 Feb,Caltex Singapore Masters,Singapore,Vijay Singh ( 11 )
1-4 Mar,Dubai Desert Classic,United Arab Emirates,Thomas Bjørn ( 6 )
8-11 Mar,Qatar Masters,Qatar,Tony Johnstone ( 6 )
15-18 Mar,Madeira Island Open,Portugal,Des Smyth ( 8 )
22-25 Mar,São Paulo Brazil Open,Brazil,Darren Fichardt ( 1 )
29 Mar - 1 Apr,Open de Argentina,Argentina,Ángel Cabrera ( 1 )
5-8 Apr,Masters Tournament,United States,Tiger Woods ( n/a )
12-15 Apr,Moroccan Open,Morocco,Ian Poulter ( 2 )
19-22 Apr,Via Digital Open de España,Spain,Robert Karlsson ( 4 )
26-29 Apr,Algarve Open de Portugal,Portugal,Phillip Price ( 2 )
3-6 May,Novotel Perrier Open de France,France,José María Olazábal ( 21 )
10-13 May,Benson and Hedges International Open,England,Henrik Stenson ( 1 )
17-20 May,Deutsche Bank - SAP Open TPC of Europe,Germany,Tiger Woods ( n/a )
