Team,City,Autonomous community,Arena
Alfindén CB,La Puebla de Alfindén,Aragon,Municipal
BC MoraBanc Andorra B,Andorra la Vella,Andorra,Poliesportiu d'Andorra
CB Igualada,Igualada,Catalonia,Les Comes
CB Martorell,Martorell,Catalonia,Municipal
CB Quart Germans Cruz,Quart,Catalonia,Municipal
CB Vic - Universitat de Vic,Vic,Catalonia,Castell d'en Planes
FC Martinenc Bàsquet,Barcelona,Catalonia,Guinardó
Flanigan Calvià,Calvià,Balearic Islands,Galatzó
Maristes Ademar,Badalona,Catalonia,La Plana
Mataró Parc Boet,Mataró,Catalonia,Eusebi Millán
MCN Team SESE,Barcelona,Catalonia,Ramon Aldufreu Virrei Amat
Open Sports Arenys Bàsquet,Arenys de Mar,Catalonia,Fons de les Creus
Patria Hispana Seguros Almozara,Zaragoza,Aragon,Siglo XXI
Tenea CB Esparreguera,Esparreguera,Catalonia,Ramon Martí
