Building,Built,City
Peter Secord House,1782,Niagara-on-the-Lake ( St. Davids )
Peter Secord Grist Mill,1782-1783,Niagara-on-the-Lake ( St. Davids )
Mohawk Chapel,1785,Brantford
Hawley House,1785,Bath
Secord ~ Paxton House,1785-1790,Niagara-on-the-Lake ( St. Davids )
Joseph Clement House,1786,Niagara on the Lake ( St. Davids )
Daniel Reynolds House,1786,Wellington
Nelles-Fitch House,1791 ( rear portion is from 1787 ),Grimsby
Lake Lodge,1792,Niagara-on-the-Lake
Meyer 's Mill,1792,Belleville
Queen 's Rangers ' Cabin,1792,Hamilton ( Flamborough )
Sir John Johnson House,1792 ( oldest part ),"Williamstown , Ontario"
Old Hay Bay Church,1792,Adolphustown
Fairfield House,1793,Bath
De Puisaye House,1794,Niagara-on-the-Lake
Bajus Brewery,1794-1795,Kingston
Fairfield-Gutzeit House,1796,Bath
Brown-Jouppien House,1796 back/1802 front,St. Catharines
Park House Museum,1796,Amherstburg
Whirlpool House,1796,Niagara Falls
