Date,Name,Moving from,Moving to,Fee
"March 5 , 2012",Gheorghe Grozav,Standard Liège,Universitatea Cluj,Undisclosed
"March 5 , 2012",Kristof Maes,Beerschot,Gent,Undisclosed
"March 8 , 2012",Tim Smolders,Gent,Cercle Brugge,Free
"March 12 , 2012",Denis Alibec,Mechelen,Inter Milan,Loan deal terminated
"March 12 , 2012",Joachim Van Damme,Waasland-Beveren,Mechelen,Undisclosed
"March 14 , 2012",Ahmed Samir Farag,Ismaily,Lierse,Undisclosed
"March 14 , 2012",Tony Sergeant,Cercle Brugge,Free Agent,Retires
"March 14 , 2012",Arnaud Biatour,Tienen,Mons,Undisclosed
"March 21 , 2012",Thomas Foket,Dilbeek,Gent,Undisclosed
"March 23 , 2012",Frédéric Brillant,Oostende,Beerschot,Undisclosed
"March 23 , 2012",Frédéric Gounongbe,Woluwe-Zaventem,Zulte Waregem,Undisclosed
"March 26 , 2012",Mohamed Messoudi,Kortrijk,Gent,Free
"March 29 , 2012",Geir Ludvig Fevang,Lokeren,Haugesund,Undisclosed
