Name,Nationality,Position,Kelantan career,Appearances,Goals
Abou Bakr Al-Mel,Lebanon,FW,2017,14,4
Mamadou Danso,The Gambia,DF,2017,29,1
Alessandro Celin,Brazil,FW,2017,19,4
Morgaro Gomis,Senegal,MF,2016- present,42,1 ^a
Wander Luiz Bitencourt Junior,Brazil,"MF , FW",2016,16,5
Jonathan McKain,Australia,"DF , MF",2015-2016,39,3
Baže Ilijoski,Macedonia,FW,2016,26,16
Dramane Traore,Mali,FW,2016,13,3
Jonatan Lucca,Brazil,MF,2016,10,0
Austin Amutu,Nigeria,FW,2015,19,9
Gilmar Jose da Silva Filho,Brazil,FW,2015,29,11
Isaac Pupo,Liberia,MF,2015,0,0
Emmanuel Kenmogne,Cameroon,FW,2015,10,1
Erwin Carrillo,Colombia,FW,2015,26,6
Hussein Alaa Hussein,Iraq,DF,2014,27,1
Francis Doe,Liberia,FW,2014,38,13
Mohamed Shawky,Egypt,MF,2014,16,8
Obinna Nwaneri,Nigeria,DF,2013,75,9
Arcadia Toe,Liberia,FW,2004-2005,-,-
Dickson Nwakaeme,Nigeria,FW,2013,25,13
