Year,Title,Role,Notes
1990,Santa Barbara,Jane Kingsley,5 episodes
"1990-1993 , 2009-2011",Days of Our Lives,Dr. Carly Manning,380 episodes Soap Opera Digest Award for Hottest Female Star Nominated - Daytime Emmy Award for Outstanding Lead Actress in a Drama Series
1994,Diagnosis : Murder,Eve Laurie,2 episodes
1994-1997,Silk Stalkings,Deborah Buchard/Dr . Bertha Roberts,2 episodes
1995-1997,One Life to Live,Maggie Carpenter,300 episodes
1995,"Walker , Texas Ranger",Stacy,Episode : Trust No One
1995,Burke 's Law,Marilyn Divine,Episode : Who Killed the Movie Mogul ?
1998,Pensacola : Wings of Gold,Lieutenant Commander Keaton,Episode : Trials and Tribulations
1998,Poltergeist : The Legacy,Jessica Lansing,Episode : Dream Lover
1999-2009,Guiding Light,Olivia Spencer,999 episodes Daytime Emmy Award for Outstanding Supporting Actress in a Drama Series Nominated - Daytime Emmy Award for Outstanding Supporting Actress in a Drama Series Nominated - Daytime Emmy Award for Outstanding Lead Actress in a Drama Series ( 2007-2008 )
2009-present,Venice : The Series,Gina,Main role
2012-2013,The Bold and the Beautiful,Danielle Spencer,Recurring role
