Spoofed Title,Actual Title,Writer,Artist,Issue,Date
The Producer and I,The King and I ( June 1956 ) ( Genre : Romantic musical ),Nick Meglin,Mort Drucker,60,1961-01 January 1961
Mad Visits John Wayde on the set of At the Alamo,The Alamo ( October 1960 ) ( Genre : Historical epic war ),Larry Siegel,Mort Drucker,63,1961-06 June 1961
The Guns of Minestrone,The Guns of Navarone ( June 1961 ) ( Genre : War film ),Larry Siegel,Mort Drucker,68,1962-01 January 1962
If Mardy Were Made in Hollywood Today,Marty ( April 1955 ) ( Genre : Romantic drama ),Larry Siegel,Mort Drucker,78,1963-04 April 1963
East Side Story,West Side Story ( October 1961 ) ( Genre : Romantic musical ),Frank Jacobs,Mort Drucker,78,1963-04 April 1963
Mutiny on the Bouncy,Mutiny on the Bounty ( November 1962 ) ( Genre : Epic historical drama ),Larry Siegel,Wally Wood,80,1963-07 July 1963
For the Birds,The Birds ( March 1963 ) ( Genre : Horror-thriller ),Arnie Kogen Lou Silverstone,Mort Drucker,82,1963-10 October 1963
Hood !,Hud ( May 1963 ) ( Genre : Western ),Larry Siegel,Mort Drucker,83,1963-12 December 1963
Flawrence of Arabia,Lawrence of Arabia ( December 1962 ) ( Genre : Epic historical drama ),Frank Jacobs Stan Hart Larry Siegel,Mort Drucker,86,1964-04 April 1964
Charades,Charade ( December 1963 ) ( Genre : Romantic comedy/mystery ),Larry Siegel,Mort Drucker,88,1964-07 July 1964
The Carpetsweepers,The Carpetbaggers ( April 1964 ) ( Genre : Drama ),Larry Siegel,Mort Drucker,92,1965-01 January 1965
The Flying Ace,Mad ' s Tribute to Fighter-pilot Films,Dick DeBartolo,Mort Drucker,93,1965-03 March 1965
Crazy Fists,Mad ' s Tribute to Past Fight Films,Dick DeBartolo,Mort Drucker,96,1965-04 April 1965
007 : The James Bomb Musical,Mad ' s tribute to James Bond films,Frank Jacobs,Mort Drucker,94,1965-07 April 1965
Son of Mighty Joe Kong,Mad ' s tribute to great ape films,Dick DeBartolo,Mort Drucker,94,1965-07 April 1965
Cheyenne Awful,Cheyenne Autumn ( October 1964 ) ( Genre : Western ),Larry Siegel,Mort Drucker,97,1965-09 September 1965
Lord Jump,Lord Jim ( February 1965 ) ( Genre : Adventure ),Larry Siegel,Mort Drucker,98,1965-10 October 1965
"Hack , Hack , Sweet Has-Been or What Ever Happened to Good Taste ?","Hush ... Hush , Sweet Charlotte ( December 1964 ) ( Genre : Psychological thriller ) and What Ever Happened to Baby Jane ? ( October 1962 ) ( Genre : Psychological thriller/Horror )",Larry Siegel,Mort Drucker,100,1966-01 January 1966
The Sinpiper,The Sandpiper ( June 1965 ) ( Genre : Drama ),Larry Siegel,Mort Drucker,101,1966-03 March 1966
Bubby Lake Missed by a mile,Bunny Lake Is Missing ( October 1965 ) ( Genre : Psychological thriller ),Stan Hart,Mort Drucker,102,1966-04 April 1966
