Call sign,Radio frequency,Branding,Market,State
WXDX-FM,105.9 FM,The X,Pittsburgh,Pennsylvania
WBVP,1230 AM,Beaver County 's Hometown Station,Beaver Falls,Pennsylvania
WMBA,1460 AM,Beaver County 's Hometown Station,Ambridge,Pennsylvania
WMBS,590 AM 101.1 FM,"Your Local Station , 590 AM 101.1 FM",Uniontown,Pennsylvania
WKQW,96.3 FM,MIX 96,Oil City,Pennsylvania
WKGE,850 AM,The Edge,Johnstown,Pennsylvania
WKNB,104.3 FM,Kinzu Country,Warren,Pennsylvania
WISR,680 AM,Butler 's Hometown Station,Butler,Pennsylvania
WPSE,1450 AM/107.1 FM,Your Money Station,Erie,Pennsylvania
WDSN,106.5 FM,Sunny 106.5,Dubois,Pennsylvania
WQMU,92.5 FM,"U 92.5 , Your Music , Your Station",Indiana,Pennsylvania
WLYC,1050 AM,FOX Sports Williamsport,Williamsport,Pennsylvania
W224AI,92.7 FM,FOX Sports Williamsport,Loyalsock Township,Pennsylvania
WEJS,1600 AM,NewsTalk 104.1 & 1600 WEJS,Jersey Shore,Pennsylvania
W281AR,104.1 FM,NewsTalk 104.1 & 1600 WEJS,Williamsport,Pennsylvania
WKQL,103.3 FM,Classic Hits,Punxsutawney,Pennsylvania
WWCH,1300 AM,Your Hometown Station,Clarion,Pennsylvania
WUZZ,1280 AM,Fox Sports Radio,New Castle,Pennsylvania
WMGW,1490 AM,The Allegheny NewsTalkSports Network,Meadville,Pennsylvania
WTIV,1230 AM,The Allegheny NewsTalkSports Network,Titusville,Pennsylvania
