Title,Author,First Issue,Last Issue
DNA²,Masakazu Katsura,November 2001,March 2003
Hunter × Hunter ( Hunter X Hunter ),Yoshihiro Togashi,November 2001,December 2005
Naruto,Masashi Kishimoto,November 2001,December 2005
Sand Land ( Sandland ),Akira Toriyama,November 2001,May 2002
One Piece - Rogue Town,Eiichiro Oda,December 2001,September 2002
Shaman King,Hiroyuki Takei,December 2001,December 2005
Neko Majin,Akira Toriyama,June 2002,August 2002
Dr. Slump ( Dr. Slump - Neues aus Pinguinhausen ),Akira Toriyama,July 2002,January 2003
Yu-Gi-Oh !,Kazuki Takahashi,September 2002,January 2005
One Piece Red,Eiichiro Oda,April 2003,August 2003
Hikaru no Go ( Hikaru No Go ),"Yumi Hotta , Takeshi Obata",November 2003,December 2005
Neko Majin Z,Akira Toriyama,April 2004,June 2004
Is,Masakazu Katsura,February 2005,May 2005
Black Cat,Kentaro Yabuki,June 2005,August 2005
