#,Name,Pos,Date of Birth,Club
1,Gianluca Zaetta,G,18 December 1999,EV Zug
29,Akira Schmid,G,12 May 2000,Omaha Lancers
30,Luca Hollenstein,G,5 March 2000,EV Zug
4,Simon le Coultre,D,9 August 1999,Moncton Wildcats
7,Gianluca Burger,D,27 April 1999,GCK Lions
8,Janis Jérôme Moser,D,6 June 2000,EHC Biel
16,Nico Gross,D,26 January 2000,Oshawa Generals
19,Davyd Barandun,D,2 January 2000,HC Davos
21,Tim Berni,D,11 February 2000,ZSC Lions
26,David Aebischer,D,26 September 2000,Gatineau Olympiques
6,Marco Lehmann,F,19 March 1999,EHC Kloten
9,Nicolas Müller,F,21 June 1999,Modo Hockey J20
10,Yannick Bruschweiler,F,29 August 1999,GCK Lions
11,Sven Leuenberger,F,18 February 1999,EV Zug
12,Jeremi Gerber,F,1 March 2000,SC Bern
13,Justin Sigrist,F,20 April 1999,GCK Lions
14,Sandro Schmid,F,3 June 2000,Malmö Redhawks J20
15,Matthew Verboon,F,23 February 2000,Salmon Arm Silverbacks
18,Valentin Nussbaumer,F,25 September 2000,Shawinigan Cataractes
20,Ramon Tanner,F,28 August 1999,EHC Biel
