Title,Originally aired,Description
Mind Game,2018,"2004 animated film written and directed by Masaaki Yuasa . Premiered April 1 , 2018 . Presented in its original Japanese language audio with English subtitles on Toonami as part of an April Fools ' event"
Children Who Chase Lost Voices,2016,"2011 animated film directed by Makoto Shinkai . Premiered November 5 , 2016 on Toonami"
Dragon Ball Z : Broly - The Legendary Super Saiyan,2014,"1993 animated film based on the Dragon Ball Z anime series . Premiered December 21 , 2014 on Toonami"
Fullmetal Alchemist : The Sacred Star of Milos,2014,"2011 animated film based on the Fullmetal Alchemist : Brotherhood anime series . Premiered December 14 , 2014 on Toonami"
Dragon Ball Z : Cooler 's Revenge,2014,"1991 animated film based on the Dragon Ball Z anime series . Premiered May 24 , 2014 on Toonami"
Trigun : Badlands Rumble,2013,"2010 animated film set in the same universe as the 1998 Trigun anime series . Premiered December 28 , 2013 on Toonami"
Fullmetal Alchemist the Movie : Conqueror of Shamballa,2013,"2005 animated film sequel of the original 2003 Fullmetal Alchemist anime series . Premiered December 21 , 2013 on Toonami"
Summer Wars,2013,"2009 animated film by director Mamoru Hosoda . Premiered December 14 , 2013 on Toonami"
Akira,2013,"1988 animated film based on the manga series of the same name . Premiered December 7 , 2013 on Toonami"
Evangelion 2.22 You Can ( Not ) Advance,2013,"2009 animated movie remake of the Neon Genesis Evangelion TV series . Sequel to Evangelion 1.11 . Premiered August 31 , 2013 on Toonami"
Evangelion 1.11 You Are ( Not ) Alone,2013,"2007 animated movie remake of the Neon Genesis Evangelion TV series . Premiered March 17 , 2013 . The first film broadcast on Toonami since its revival in 2012"
Black Dynamite,2012,"2009 live-action movie that inspired the Adult Swim series . Aired on September 2 , 2012"
Bleach : The DiamondDust Rebellion,2009,"Aired on December 5 , 2009 . First anime film to air on Adult Swim in high definition"
Bleach : Memories of Nobody,2009,"Aired on September 5 , 2009"
G.I . Joe : Resolute,2009,"90-minute movie that aired April 25 , 2009"
The Room,2009,"First aired on April 1 , 2009 as part of an April Fools ' Day prank . In 2010 it aired again on April Fools ' Day ; featuring Space Ghost interviewing Tommy Wiseau in the same format as Space Ghost Coast to Coast as bumps . The movie aired again on April 1 , 2011 , for the third year in a row . On April 1 , 2012 , part of the opening was aired , before cutting to T.O.M . from Toonami , opening an announced night of the block"
Aqua Teen Hunger Force Colon Movie Film for Theaters,2008,"Feature film based on Aqua Teen Hunger Force , and was the first film adaption of an Adult Swim series . It was released in theaters on April 13 , 2007 . The film made its official television debut on March 31 , 2008 on Adult Swim"
InuYasha the Movie : Fire on the Mystic Island,2006,"Premiered December 23 , 2006"
InuYasha the Movie : Swords of an Honorable Ruler,2006,"Premiered August 12 , 2006"
Escaflowne : The Movie,2005,"Premiered September 10 , 2005"
