Team,City,Stadium,Capacity
Bačka,Bačka Palanka,Stadion Slavko Maletin Vava,"4,000"
Budućnost Dobanovci,Belgrade,Stadion FK Budućnost,"1,000"
Dinamo Vranje,Vranje,Surdulica City Stadium,"3,312"
Grafičar,Belgrade,Topčiderska zvezda,"1,000"
Kabel,Novi Sad,Stadion FK Kabel,"2,000"
Kolubara,Lazarevac,Stadion FK Kolubara,"2,500"
Metalac,Gornji Milanovac,Stadion FK Metalac,"4,400"
Novi Pazar,Novi Pazar,Gradski Stadion,"13,000"
Radnički 1923,Kragujevac,Čika Dača,"15,100"
Radnički Pirot,Pirot,Stadion Dragan Nikolić,"13,816"
Sinđelić,Belgrade,Stadion FK Sinđelić,"1,500"
Smederevo 1924,Smederevo,Smederevo Stadium,"17,200"
Trayal,Kruševac,Stadion FK Trayal,"1,500"
Žarkovo,Belgrade,Stadion FK Žarkovo,610
Zemun,Belgrade,Zemun Stadium,"9,588"
Zlatibor,Čajetina,Stadion Švajcarija,"1,040"
