Time,Athlete,Date,Place
4:24 + 3 / 5,J. Borel ( FRA ),1892,
4:21,Fernand Meiers ( FRA ),1893-05-28,"Paris , France"
4:19 + 4 / 5,Felix Bourdier ( FRA ),1894-07-22,"Paris , France"
4:18 + 2 / 5,Albin Lermusiaux ( FRA ),1895-05-12,"Paris , France"
4:16 + 4 / 5,Michel Soalhat ( FRA ),1895-05-26,"Paris , France"
4:15 + 3 / 5,Thomas Conneff ( USA ),1895-08-26,"New York City , United States"
4:10 + 2 / 5,Albin Lermusiaux ( FRA ),1896-06-26,"Paris , France"
4:09,John Bray ( USA ),1900-05-30,Bayonne
4:06 + 1 / 5,Charles Bennett ( GBR ),1900-07-15,"Paris , France"
4:05 + 2 / 5,James Lightbody ( USA ),1904-09-03,"St. Louis , United States"
3:59 + 4 / 5,Harold Wilson ( GBR ),1908-05-30,"London , England"
3:59 + 1 / 5,Abel Kiviat ( USA ),1912-05-26,"New York City , United States"
3:56 + 4 / 5,Abel Kiviat ( USA ),1912-06-01,"New York City , United States"
