Season,Team,Player
1991,Campbell Conference,Mike Vernon
1992,Wales Conference,Mike Richter Don Beaupre
1993,Campbell Conference,Jon Casey Mike Vernon Ed Belfour
1994,Western Conference,Curtis Joseph
1996,Eastern Conference,Dominik Hasek
1997,World,Dominik Hasek Guy Hebert
1998,World North America,Dominik Hasek
1999,World,Dominik Hasek Arturs Irbe
2000,World,Tommy Salo
2001,World,Sean Burke Evgeni Nabokov
2002,North America,Dominik Hasek Patrick Roy
2003,Western Conference,Patrick Roy
2004,Eastern Conference,Roberto Luongo
2007,Western Conference,Roberto Luongo
