Building,Year,City,Country,Firm
Expo 2017,2017,Astana,Kazakhstan,AS+GG
Waldorf Astoria Beijing,2014,Beijing,China,AS+GG
FKI Tower,2013,Seoul,Korea,AS+GG
Chicago Central Area Decarbonization Plan,2011,Chicago,United States,AS+GG
Pearl River Tower,2011,Guangzhou,China,SOM
Burj Khalifa,2010,Dubai,United Arab Emirates,SOM
Zifeng Tower,2010,Nanjing,China,SOM
Trump International Hotel and Tower ( Chicago ),2009,Chicago,United States,SOM
Broadgate Tower,2009,London,United Kingdom,SOM
Chemsunny Plaza,2008,Beijing,China,SOM
Jubilee Park Pavilion,2004,London,United Kingdom,SOM
Tower Palace III,2004,Seoul,Korea,SOM
"Canary Wharf , International banking headquarters buildings : HQ1 , DS1 , DS3 , DS4 ; FC2",1991-2004,London,United Kingdom,SOM
"601 Congress Street , Manulife Financial",2003,Boston,United States,SOM
General Motors Renaissance Center,2003,Detroit,United States,SOM
Millennium Park and Millennium Park Master Plan,2002,Chicago,United States,SOM
Sede do BankBoston,2002,Sao Paulo,Brazil,SOM
Washington University Arts and Sciences Building,2000,St. Louis,United States,SOM
Jin Mao Tower,1998,Shanghai,China,SOM
Washington University Psychology Building,1996,St. Louis,United States,SOM
