Name,Country,Total,Gold,Silver,Bronze
Christl Cranz,Germany,15,12,3,0
Marielle Goitschel,France,11,7,4,0
Anja Pärson,Sweden,11,7,1,3
Annemarie Moser-Pröll,Austria,9,5,2,2
Tina Maze,Slovenia,9,4,5,0
Hanni Wenzel,Liechtenstein,9,4,3,2
Lindsey Vonn,United States,8,2,3,3
Lisa Resch,Germany,8,1,4,3
Erika Hess,Switzerland,7,6,0,1
Mikaela Shiffrin,United States,7,5,1,1
Renate Götschl,Austria,7,2,3,2
Käthe Grasegger,Germany,7,0,1,6
Pernilla Wiberg,Sweden,6,4,1,1
Inge Wersin-Lantschner,Austria,6,3,3,0
Vreni Schneider,Switzerland,6,3,2,1
Annie Famose,France,6,1,2,3
Nicole Hosp,Austria,6,1,2,3
Janica Kostelić,Croatia,5,5,0,0
Trude Jochum-Beiser,Austria,5,3,2,0
Anna Fenninger,Austria,5,3,1,1
