Year,Film,Role,Director
2020,Kaaval,TBA,Nithin Renji Panicker
2020,Varane Aavashyamundu,Major Unnikrishnan,Anoop Sathyan
2015,My God,Aadhiraja Bhattathiri,M. Mohanan
2015,Rudra Simhasanam,Rudra Simhan,Shibu Gangadharan
2015,Chamante Kabani,CBI Officer,Ambili
2015,Compartment,Himself,Salim Kumar
2014,The Dolphins,Panayamuttam Sura,Diphan
2014,Apothecary,Dr. Vijay Nambiar,Madhav Ramadasan
2014,Salaam Kashmier,Tomy Eappan Devassy,Joshiy
2013,Geethaanjali,Nakulan,Priyadarshan
2012,The King & The Commissioner,Bharath Chandran IPS,Shaji Kailas
2011,Ven Shankhu Pol,Nandan,Asok R Nath
2011,Collector,Avinash Varma IAS,Anil C. Menon
2011,Melvilasom,Captain Vikas Roy,Madhav Ramadasan
2011,Christian Brothers,Joseph Vadakkan IPS,Joshiy
2010,Sahasram,Sahasranamam IPS,Dr. Janardhanan
2010,Kanyakumari Express,Mohan Shanker,T. S. Suresh Babu
2010,Sadgamaya,Dr. Ravi Varma,Harikumar
2010,Raama Raavanan,Thiruchelvam,Biju Vattappara
2010,Ringtone,Ninan Koshy,Ajmal
