Year,Date,Country,City,Retreat,Chairperson
1971,14-22 January,Singapore,Singapore,None,Lee Kuan-Yew
1973,2-10 August,Canada,Ottawa,Mont-Tremblant,Pierre Trudeau
1975,29 April - 6 May,Jamaica,Kingston,None,Michael Manley
1977,8-15 June,United Kingdom,London,Gleneagles Hotel,James Callaghan
1979,1-7 August,Zambia,Lusaka,Lusaka,Kenneth Kaunda
1981,30 September - 7 October,Australia,Melbourne,Canberra,Malcolm Fraser
1983,23-29 November,India,New Delhi,Goa,Indira Gandhi
1985,16-22 October,Bahamas,Nassau,Lyford Cay,Lynden Pindling
1986,3-5 August,United Kingdom,London,None,Margaret Thatcher
1987,13-17 October,Canada,Vancouver,Okanagan,Brian Mulroney
1989,18-24 October,Malaysia,Kuala Lumpur,Langkawi,Mahathir bin Mohamad
1991,16-21 October,Zimbabwe,Harare,Victoria Falls,Robert Mugabe
1993,21-25 October,Cyprus,Limassol,None,Glafcos Clerides
1995,10-13 November,New Zealand,Auckland,Millbrook,Jim Bolger
1997,24-27 October,United Kingdom,Edinburgh,St Andrews,Tony Blair
1999,12-14 November,South Africa,Durban,George,Thabo Mbeki
2002,2-5 March,Australia,Coolum,None,John Howard
2003,5-8 December,Nigeria,Abuja,Aso Rock,Olusegun Obasanjo
2005,25-27 November,Malta,Valletta,Mellieħa,Lawrence Gonzi
2007,23-25 November,Uganda,Kampala,Munyonyo,Yoweri Museveni
