City,Winners,Runners-up,Winning clubs,Runners-up
Riyadh,3,6,Al-Hilal ( 3 ),"Al-Hilal ( 4 ) , Al-Shabab ( 1 ) , Al-Nassr ( 1 )"
Tehran,3,3,"Esteghlal ( 2 ) , PAS Tehran ( 1 )","Esteghlal ( 2 ) , Persepolis ( 1 )"
Tel Aviv,3,1,"Maccabi Tel Aviv ( 2 ) , Hapoel Tel Aviv ( 1 )",Hapoel Tel Aviv ( 1 )
Pohang,3,0,Pohang Steelers ( 3 ),-
Jeddah,2,3,Al-Ittihad ( 2 ),"Al-Ahli ( 2 ) , Al-Ittihad ( 1 )"
Bangkok,2,1,Thai Farmers Bank ( 2 ),BEC Tero Sasana ( 1 )
Doha,2,1,Al-Sadd ( 2 ),Al-Arabi ( 1 )
Jeonju,2,1,Jeonbuk Hyundai Motors ( 2 ),Jeonbuk Hyundai Motors ( 1 )
Saitama,2,1,Urawa Red Diamonds ( 25 ),Urawa Red Diamonds ( 1 )
Suwon,2,0,Suwon Samsung Bluewings ( 2 ),-
Guangzhou,2,0,Guangzhou Evergrande Taobao ( 2 ),-
Iwata,1,2,Júbilo Iwata ( 1 ),Júbilo Iwata ( 2 )
Seoul,1,2,Ilhwa Chunma ( 1 ),"Yangzee ( 1 ) , FC Seoul ( 1 )"
Al Ain,1,2,Al-Ain ( 1 ),Al-Ain ( 2 )
Shenyang,1,1,Liaoning Whowin ( 1 ),Liaoning Whowin ( 1 )
Yokohama,1,1,Furukawa Electric ( 1 ),Yokohama F. Marinos ( 1 )
Seongnam,1,1,Seongnam Ilhwa Chunma ( 1 ),Seongnam Ilhwa Chunma ( 1 )
Sydney,1,0,Western Sydney Wanderers FC ( 1 ),-
Busan,1,0,Daewoo Royals ( 1 ),-
Tokyo,1,0,Yomiuri ( 1 ),-
