Team,Winners,Runners-up,Years won,Years lost
Bayern Munich,7,6,"1987 , 1990 , 2010 , 2012 , 2016 , 2017 , 2018","1989 , 1994 , 2013 , 2014 , 2015 , 2019"
Borussia Dortmund,6,4,"1989 , 1995 , 1996 , 2013 , 2014 , 2019","2011 , 2012 , 2016 , 2017"
Werder Bremen,3,1,"1988 , 1993 , 1994",1991
1 . FC Kaiserslautern,1,2,1991,"1990 , 1996"
Schalke 04,1,1,2011,2010
VfB Stuttgart,1,-,1992,-
VfL Wolfsburg,1,-,2015,-
Eintracht Frankfurt,-,2,-,"1988 , 2018"
Hamburger SV,-,1,-,1987
Hannover 96,-,1,-,1992
Bayer Leverkusen,-,1,-,1993
Borussia Mönchengladbach,-,1,-,1995
