Round,Pick #,Overall,Name,Position,College
1,14,14,D. J. Dozier,Running back,Penn State
2,16,44,Ray Berry,Linebacker,Baylor
3,16,72,Henry Thomas,Defensive tackle,Louisiana State
4,16,100,Najee Mustafaa,Safety,Georgia Tech
6,16,156,Greg Richardson,Wide receiver,Alabama
8,16,211,Rick Fenney,Running back,Washington
9,16,239,Leonard Jones,Defensive back,Texas Tech
10,16,267,Bob Riley,Offensive tackle,Indiana State
11,16,295,Brent Pease,Quarterback,Montana
12,16,323,Keith Williams,Defensive tackle,Florida
