Pos,No,Driver,Constructor,Time,Gap
1,3,Jacques Villeneuve,Williams - Renault,1:16.525,
2,4,Heinz-Harald Frentzen,Williams - Renault,1:16.791,+0.266
3,10,David Coulthard,McLaren - Mercedes,1:17.521,+0.996
4,7,Jean Alesi,Benetton - Renault,1:17.717,+1.192
5,9,Mika Häkkinen,McLaren - Mercedes,1:17.737,+1.212
6,8,Gerhard Berger,Benetton - Renault,1:18.041,+1.516
7,5,Michael Schumacher,Ferrari,1:18.313,+1.788
8,12,Giancarlo Fisichella,Jordan - Peugeot,1:18.385,+1.860
9,11,Ralf Schumacher,Jordan - Peugeot,1:18.423,+1.898
10,16,Johnny Herbert,Sauber - Petronas,1:18.494,+1.969
11,6,Eddie Irvine,Ferrari,1:18.873,+2.348
12,14,Olivier Panis,Prost - Mugen-Honda,1:19.157,+2.632
13,17,Gianni Morbidelli,Sauber - Petronas,1:19.323,+2.798
14,19,Mika Salo,Tyrrell - Ford,1:20.079,+3.554
15,1,Damon Hill,Arrows - Yamaha,1:20.089,+3.564
16,15,Shinji Nakano,Prost - Mugen-Honda,1:20.103,+3.578
17,22,Rubens Barrichello,Stewart - Ford,1:20.255,+3.730
18,21,Jarno Trulli,Minardi - Hart,1:20.452,+3.927
19,18,Jos Verstappen,Tyrrell - Ford,1:20.582,+4.057
20,20,Ukyo Katayama,Minardi - Hart,1:20.672,+4.147
