No,Name,Location,District,Estd,Status
1,Agricultural College and Research Institute Coimbatore,Coimbatore,Coimbatore district,1908,University Main Campus
2,"School of Post Graduate Studies , Coimbatore",Coimbatore,Coimbatore district,1965,University Main Campus
3,Agricultural College and Research Institute Madurai,Madurai,Madurai district,1965,University Main Campus
4,Anbil Dharmalingam Agricultural College and Research Institute,Navalur Kuttapattu,Tiruchirappalli district,1989,University Constituent College
5,"Agricultural College and Research Institute , Killikulam","Killikulam , Vallanadu",Thoothukudi district,1985,University Constituent College
6,"Agricultural Engineering College and Research Institute , Kumulur","Kumulur , Lalgudi",Tiruchirapalli district,1992,University Constituent College
7,Agricultural Engineering College and Research Institute Coimbatore,Coimbatore,Coimbatore district,1972,University Constituent College
8,Horticultural College and Research Institute Coimbatore,Coimbatore,Coimbatore district,1972,University Constituent College
9,Horticultural College and Research Institute Periyakulam,Periyakulam,Theni district,1990,University Constituent College
10,Horticultural College and Research Institute for Women,Navalur Kuttapattu,Tiruchirappalli district,2012,University Constituent College
11,Forest College and Research Institute Mettupalayam,Mettupalayam,Coimbatore district,1990,University Constituent College
12,"Home Science College and Research Institute , Madurai",Madurai,Madurai district,2000,University Constituent College
13,"Agricultural College & Research Institute , Eachankottai",Eachankottai,Thanjavur district,2014,University Constituent College
14,"Agricultural College & Research Institute , Valavachanur",Valavachanur,Thiruvannamalai District,2014,University Constituent College
15,"Agricultural College & Research Institute , Kudumiyanmalai",Kudimiyanmalai,Pudukkottai district,2014,University Constituent College
