Name,Assumed Office,Left Office,President served under
Joseph C. Satterthwaite,"September 2 , 1958","January 31 , 1961",Dwight D. Eisenhower and John F. Kennedy
G. Mennen Williams,"February 1 , 1961","March 23 , 1966",John F. Kennedy and Lyndon B. Johnson
Joseph Palmer II,"April 11 , 1966","July 7 , 1969",Lyndon B. Johnson
David D. Newsom,"July 17 , 1969","January 13 , 1974",Richard Nixon
Donald B. Easum,"March 18 , 1974","March 26 , 1975",Richard Nixon and Gerald Ford
Nathaniel Davis,"April 2 , 1975","December 18 , 1975",Gerald Ford
"William E. Schaufele , Jr","December 19 , 1975","July 17 , 1977",Gerald Ford and Jimmy Carter
Richard M. Moose,"July 6 , 1977","January 16 , 1981",Jimmy Carter
Chester Crocker,"June 9 , 1981","April 21 , 1989",Ronald Reagan and George H. W. Bush
Herman Jay Cohen,"May 12 , 1989","February 26 , 1993",George H. W. Bush and Bill Clinton
George Moose,"April 2 , 1993","August 22 , 1997",Bill Clinton
Susan E. Rice,"October 9 , 1997","January 20 , 2001",Bill Clinton
"Walter H. Kansteiner , III","June 4 , 2001","November 1 , 2003",George W. Bush
Charles R. Snyder ( Acting ),"November 1 , 2003","June 27 , 2004",George W. Bush
Constance Berry Newman,"June 24 , 2004","August 26 , 2005",George W. Bush
Jendayi Frazer,"August 29 , 2005","January 20 , 2009",George W. Bush
Johnnie Carson,"May 7 , 2009","March 30 , 2013",Barack Obama
Donald Yamamoto,"March 30 , 2013","August 5 , 2013",Barack Obama
Linda Thomas-Greenfield,"August 6 , 2013","March 10 , 2017",Barack Obama and Donald Trump
Donald Yamamoto ( Acting ),"September 5 , 2017","July 22 , 2018",Donald Trump
