ROSTER,#,POS,HT,COLLEGE
Jay Ramirez,2,Guard-Forward,62 ',University of the Visayas
Romulo Mamaril,4,Center,66 ',Mapua Institute of Technology
Ronnie Magsanoc,5,Guard,59 ',University of the Philippines
Jerry Ruiz,8,Forward,62 ',Letran College
Joselito Martin,10,Forward,63 ',NCBA
Romeo Dela Rosa,12,Forward,62 ',Southwestern University
Leo Austria,13,Guard,510 ',Lyceum of the Philippines
Benjie Paras,14,Center,65 ',University of the Philippines
Bobby Parks,22,Forward,63 ',Memphis State University
Richard Bognot,24,Forward,63 ',
Gido Babilonia,25,Center,66 ',University of Santo Tomas
Calvin Tuadles,33,Guard,511 ',Southwestern University
Ronald Lucero,,Forward,61 ',NCBA
