Year,Show,Role,Channel,Notes
2000 - 2001,Noorjahan,Mehr-un-Nissa / Empress Noor Jahan,DD National,Lead Role
2001 - 2002,Kutumb,Gauri Agarwal / Gauri Pratham Mittal,Sony TV,Lead Role
2002 - 2003,Kutumb,Gauri Pradhan / Gauri Pratham Mann / Shweta Chattopadhya Mann,Sony TV,Lead Role
2003,Krishna Arjun,Shweta,Star Plus,Episodic Role
2003,Naam Gum Jayegaa,Priyanka Singh,Sony TV,Lead Role
2003,Kya Hadsaa Kya Haqeeqat - Kab Kyon Kahan,Mayuri / Gauri ( Episode 177 - Episode 190 ),Sony TV,Episodic Role
2004 - 2005,Isse Kehte Hai Golmaal Ghar,,Sahara One,Lead Role
2004 - 2008,Kyunki Saas Bhi Kabhi Bahu Thi,Nandini Thakkar / Nandini Ansh Virani / Nandini Karan Virani,Star Plus,Lead Role
2005,Jassi Jaissi Koi Nahin,Herself,Sony TV,Guest Appearance
2005,Rihaee,,Sony TV,Episodic Role
2005 - 2006,Special Squad,Forensic Expert Dr. Deepika Ghosh,Star One,Lead Role
2006,Kaisa Ye Pyar Hai,Kanan,Sony TV,Supporting Role
2007,Kasamh Se,Mrs. Anupam Kapadia ( Episode 251 ),Zee TV,Episodic Role
2008,Left Right Left,Captain Shona Das,SAB TV,Supporting Role
2009,Kumkum - Ek Pyara Sa Bandhan,Aditi,Star Plus,Supporting Role
2014 - 2015,Meri Aashiqui Tumse Hi,Falguni Nitin Joshi / Falguni Harshad Parekh,Colors TV,Supporting Role
2015,Rishton Ka Mela,Neha,Zee TV,Supporting Role
2017 - 2018,Tu Aashiqui,Anita Sharma,Colors TV,Negative Role
