Year,Title,Role,Notes
1980,Hide & Seek,Elly Bart,Broadway
1980,Coming Attractions,Performer,Playwrights Horizons
1982,Sally and Marsha,Marsha,Manhattan Theatre Club
1983,Sunday in the Park with George,Clarisse ( later named Yvonne ),Playwrights Horizons
1984,The Real Thing,Charlotte,Broadway
1984,Hurlyburly,Bonnie,Broadway
1986,The House of Blue Leaves,Bunny Flingus,Broadway
1988,Rumors,Chris Gorman,Broadway
1991,Nick & Nora,Tracy Gardner,Broadway
1997,"Promises , Promises",Marge MacDougall,Off-Broadway
2002,Sweeney Todd,Mrs. Lovett,Kennedy Center
2006,Mame,Mame Dennis,Kennedy Center
2008,Boeing Boeing,Berthe,Broadway
2015,Follies,Phyllis Rogers Stone,London
