Postcode district,Post town,Coverage,Local authority area
BD1,BRADFORD,"Bradford City Centre , Little Germany , Goitside , Independent Quarter , West End , City Park",Bradford
BD2,BRADFORD,"Eccleshill , Five Lane Ends , parts of Undercliffe , Fagley , Bolton Woods , Poplars Farm , Swain House , Ashbourne , High House , Grove House",Bradford
BD3,BRADFORD,"Barkerend , Bradford Moor , Thornbury , Eastbrook , Pollard Park , parts of , Laisterdyke , Undercliffe , Wapping","Bradford , Leeds"
BD4,BRADFORD,"Bierley , East Bowling , East Bierley , Laisterdyke , Tong , Tong Street , Holme Wood , Dudley Hill , Tyersal , Swaine Green , Cutler Heights , Tong Village","Bradford , Leeds"
BD5,BRADFORD,"Bankfoot , Little Horton , West Bowling , Canterbury , Marshfields , Ripleyville ,",Bradford
BD6,BRADFORD,"Buttershaw , Wibsey , Woodside , Westwood Park , Odsal , Staithgate , parts of Horton Bank Top ( Cooperville )",Bradford
BD7,BRADFORD,"Great Horton , Lidget Green , Scholemoor , Horton Bank Top , Horton Grange",Bradford
BD8,BRADFORD,"Manningham , Girlington , White Abbey , Lower Grange , Four Lane Ends , Whetley , Longlands , West Park , Rhodesway , Crossley Hall , Belle Vue",Bradford
BD9,BRADFORD,"Frizinghall , Heaton , Daisy Hill , Haworth Road Estate , Chellow Heights , Chellow Grange",Bradford
BD10,BRADFORD,"Apperley Bridge , parts of Eccleshill , Greengates , Idle , Ravenscliffe , Thackley , Thorpe Edge","Bradford , Leeds"
BD11,BRADFORD,"Birkenshaw , Drighlington","Kirklees , Leeds"
BD12,BRADFORD,"Low Moor , Oakenshaw , Wyke , Lower Wyke , Delph Hill","Bradford , Kirklees"
BD13,BRADFORD,"Cullingworth , Clayton Heights Denholme , Queensbury , Thornton , School Green",Bradford
BD14,BRADFORD,Clayton,Bradford
BD15,BRADFORD,"Allerton , Norr , Wilsden , Sandy Lane",Bradford
BD16,BINGLEY,"Bingley , Cottingley , Eldwick , Harden",Bradford
BD17,SHIPLEY,"Baildon , Shipley",Bradford
BD18,SHIPLEY,"Saltaire , Shipley , Windhill , Wrose",Bradford
BD19,CLECKHEATON,"Cleckheaton , Gomersal , Scholes",Kirklees
BD20,KEIGHLEY,"Cononley , Cross Hills , Glusburn , Kildwick , Silsden , Steeton , Sutton-in-Craven","Bradford , Craven"
