Network,Origin of programming,Language,Genre
& TV,India,Hindi,General
B4U Movies,India,Hindi,Movies
B4U Music,India,Hindi,Music
Bhojpuri Cinema TV,India,Bhojpuri dialect of Hindi,Movies
BIG Magic Ganga,India,Hindi,Music
Apka Colors,India,Hindi,General
Dabangg,India,Bhojpuri dialect of Hindi,General
Dangal TV,India,Bhojpuri dialect of Hindi,General
Darut Tarbiyah The Islamic Network ( T.I.N . ),Trinidad and Tobago,"English , Urdu , Arabic , Persian",Religious
Dhamaal TV,India,Bhojpuri dialect of Hindi,General
Hamar TV,India,Bhojpuri dialect of Hindi,General
ieTV,Trinidad and Tobago,"English , Hindi",General
Islamic Broadcast Network,Trinidad and Tobago,"English , Urdu , Arabic , Persian",Religious
Jaagriti TV,Trinidad and Tobago,"English , Hindi , Sanskrit",Religious
STAR Bharat,India,Hindi,General
Mahuaa TV,India,Bhojpuri dialect of Hindi,General
Movies OK,India,Hindi,Movies
MTV India,India,Hindi,Music
Oscar Movies Bhojpuri,India,Bhojpuri dialect of Hindi,Movies
Rishtey,India,Hindi,General
