Riding,Candidate 's Name,Gender
Battlefords - Lloydminster,Jordan Laplante,M
Blackstrap,Deborah Walker,F
Cypress Hills - Grasslands,Duane Filson,M
Desnethé - Missinippi - Churchill River,Gabe LaFond,M
Palliser,Russell Collicott,M
Prince Albert,Ronald Wassill,M
Regina - Lumsden - Lake Centre,Monica Lysack,F
Regina - Qu'Appelle,Jackie Miller,F
Saskatoon - Humboldt,Darren Hill,M
Saskatoon - Rosetown - Biggar,Lee Reaney,M
Saskatoon - Wanuskewin,Patricia Zipchen,F
Souris - Moose Mountain,Gerald Borrowman,M
Wascana,Ralph Goodale,M
Yorkton - Melville,Kash Andreychuk,M
