Chain,Range,Highest summit,Elevation ( m/ft )
Graian Alps,Mont Blanc Massif,Mont Blanc,"4,810.45 metres ( 15,782 ft )"
Graian Alps,Beaufortain Massif,Roignais,"2,995 metres ( 9,826 ft )"
Graian Alps,Lauzière Massif,Grand Pic de la Lauzière,"2,829 metres ( 9,281 ft )"
Graian Alps,Vanoise Massif,Grande Casse,"3,855 metres ( 12,648 ft )"
Graian Alps,Graian Alps central group,Pointe de Charbonnel,"3,752 metres ( 12,310 ft )"
Dauphiné Alps,Belledonne Massif,Grand Pic de Belledonne,"2,977 metres ( 9,767 ft )"
Dauphiné Alps,Grandes Rousses,Pic Bayle,"3,465 metres ( 11,368 ft )"
Dauphiné Alps,Arves Massif,Aiguilles d'Arves,"3,514 metres ( 11,529 ft )"
Dauphiné Alps,Taillefer Massif,Le Taillefer,"2,857 metres ( 9,373 ft )"
Dauphiné Alps,Écrins Massif,Barre des Écrins,"4,102 metres ( 13,458 ft )"
Cottian Alps,Massif du Mont-Cenis,Pointe de Ronce,"3,612 metres ( 11,850 ft )"
Cottian Alps,Cerces Massif,Grand Galibier,"3,229 metres ( 10,594 ft )"
Cottian Alps,Queyras Massif,Rochebrune Peak,"3,320 metres ( 10,892 ft )"
Cottian Alps,Ubaye Massif ( Orrenaye ),Aiguille de Chambeyron,"3,411 metres ( 11,191 ft )"
Maritime Alps,Mercantour Massif,Cime du Gélas,"3,143 metres ( 10,312 ft )"
Maritime Alps,Pelat Massif,Mont Pelat,"3,050 metres ( 10,007 ft )"
Maritime Alps,Massif des Trois-Évêchés,Tête de l'Estrop,"2,961 metres ( 9,715 ft )"
Ligurian Alps,Ligurian Alps,Punta Marguareis,"2,651 metres ( 8,698 ft )"
Savoy Prealps,Chablais Alps,Hauts-Forts,"2,464 metres ( 8,084 ft )"
Savoy Prealps,Haut-Giffre Massif,Haute Cime,"3,257 metres ( 10,686 ft )"
