Title,Director,Country,Genre,Cast
Antonia 's Line,Marleen Gorris,Netherlands,"Comedy , drama","Willeke van Ammelrooy , Els Dottermans , Jan Decleir , Victor Löw , Johan Heldenbergh , Dora van der Groen , Veerle van Overloop , Esther Vriesendorp , Carolien Spoor , Thyrza Ravesteijn , Mil Seghers , Elsie de Brauw , Reinout Bussemaker , Marina de Graaf , Jan Steen , Catherine ten Bruggencate and Paul Kooij"
An Awfully Big Adventure,Mike Newell,United Kingdom,"Comedy , drama","Alan Rickman , Hugh Grant , Georgina Cates"
Bent Out of Shape,Orla Walsh,Ireland,"Short , drama","Paul Batt , Dawn Bradfield , Karl Byrne , Siobhan Carmody , Helen Casey , Kate Cleary , Stuart Dannell-Foran , Donna Dingle , Oisin the Dog , Gerry English , Tony Flynn , Matthew Griffin , Jo Halpin ( credited as Joanne Halpin ) , Brent Hearne ( credited as Breant Hearne ) and Gemma Hill"
Black is ... Black Ai n't,Marlon Riggs,United States,Documentary,"Cornel West , bell hooks , Angela Davis"
Boys on the Side,Herbert Ross,United States France,"Comedy , drama","Whoopi Goldberg , Mary-Louise Parker , Drew Barrymore , Matthew McConaughey , James Remar , Billy Wirth , Anita Gillette , Dennis Boutsikaris , Estelle Parsons and Amy Aquino"
Bugis Street,Yonfan,Singapore Hong Kong,Drama,"Hiep Thi Le , Michael Lam , Greg-O , Ernest Seah , David Knight , Maggie Lye , Gerald Chen , Mavia , Sofia , Linden , Lily Siew Lin Ong ( credited as Lily Ong ) , Matthew Foo , Benedict Goh , Gerald Chen , Matthew Foo , Godfrey Yew , Charles , Kelvin Lua , Sharon Chua , Jimmy Newton-Lim , Anthony Yeo , Anuar and Sim Wen Chiat"
Butterfly Kiss,Michael Winterbottom,United Kingdom,Drama,"Amanda Plummer , Saskia Reeves , Kathy Jamieson , Des McAleer , Lisa Riley , Freda Dowie , Paula Tilbrook , Fine Time Fontayne , Joanne Cook , Elizabeth McGrath , Shirley Vaughan , Paul Bown , Emily Aston , Ricky Tomlinson , Katy Murphy , Adele Lawson , Jeffrey Longmore , Suzy Yannis and Julie Walker"
Carrington,Christopher Hampton,United Kingdom France,Drama,"Emma Thompson , Jonathan Pryce , Steven Waddington , Samuel West , Rufus Sewell , Penelope Wilton , Janet McTeer , Peter Blythe , Jeremy Northam , Alex Kingston , Sebastian Harcombe , Richard Clifford , David Ryall , Stephen Boxer and Annabel Mullion"
The Celluloid Closet,"Rob Epstein , Jeffrey Friedman",France United Kingdom Germany United States,Documentary,"Lily Tomlin ( narrator ) , Interviewees ; Jay Presson Allen , Susie Bright , Quentin Crisp , Tony Curtis , Richard Dyer , Arthur Laurents , Armistead Maupin , Whoopi Goldberg , Jan Oxenberg , Harvey Fierstein , Gore Vidal , Farley Granger , Paul Rudnick , Shirley MacLaine , Barry Sandler , Mart Crowley , Antonio Fargas , Tom Hanks , Ron Nyswaner , Daniel Melnick , Harry Hamlin , John Schlesinger , Susan Sarandon and Stewart Stern"
Costa Brava,Marta Balletbò-Coll,Spain,Drama,"Desi del Valle , Marta Balletbò-Coll , Montserrat Gausachs , Joseph Maria Brugues , Ramón Marí , Sergi Schaaff , Marel Malaret , Marta Martí-Palanqués , Emil Remolins Casas , Luz Marina Reyes Peiro , Anna Casella , Fernando Pérez , Maria Angli , Jackson Addai and Ricard Simo"
